description,images,part,name,weight,associated
"Weasler alternative to original part.<br> Bore: 1 3/8"" - 21 Spline","https://www.aiproducts.com/images/101-6721(1).JPG,https://www.aiproducts.com/images/101-6721(2).JPG,https://www.aiproducts.com/images/101-6721(3).JPG","A-101-6721","Yoke, 1 3/8"" - 21 Spline w/ Safety Slide Lock","5.90 lbs","null"
"Weasler alternative to original part.<br> Bore: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/101-6906(1).JPG,https://www.aiproducts.com/images/101-6906(2).JPG,https://www.aiproducts.com/images/101-6906(3).JPG","A-101-6906","Yoke, 1 3/8"" - 6 Spline w/ Safety Slide Lock","8.42 lbs","null"
"Tractor Yoke. 1-3/4"" - 20 Spline with Safety Slide Lock<br> Weasler alternative to original part.","https://www.aiproducts.com/images/101-7020(1).JPG,https://www.aiproducts.com/images/101-7020(2).JPG,https://www.aiproducts.com/images/101-7020(3).JPG","A-101-7020","Tractor Yoke, 1 3/4"" - 20 Spline w/ SSL","9.00 lbs","null"
"Tractor Yoke. 1-3/8"" - 6 Spline with Safety Slide Lock<br> Weasler alternative to original part.","https://www.aiproducts.com/images/101-7606(1).JPG,https://www.aiproducts.com/images/101-7606(2).JPG,https://www.aiproducts.com/images/101-7606(3).JPG","A-101-7606","Tractor Yoke, 1 3/8"" - 6 Spline w/ SSL","4.45 lbs","null"
"Tractor Yoke. 1-3/4"" - 20 Spline with Safety Slide Lock<br> Weasler alternative to original part.","https://www.aiproducts.com/images/101-7920(1).JPG,https://www.aiproducts.com/images/101-7920(2).JPG,https://www.aiproducts.com/images/101-7920(3).JPG","A-101-7920","Tractor Yoke, 1 3/4"" - 20 Spline w/ SSL","6.74 lbs","null"
"Weasler alternative to original part.<br> Bore: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/101-8306(1).JPG,https://www.aiproducts.com/images/101-8306(2).JPG,https://www.aiproducts.com/images/101-8306(3).JPG","A-101-8306","Tractor Yoke, 1 3/8"" - 6 Spline w/ SSL","3.45 lbs","null"
"Tractor Yoke, Splined. 1-3/4"" 20 Spline with Safety Slide Lock<br> Weasler alternative to original part.","https://www.aiproducts.com/images/101-8620(1).JPG,https://www.aiproducts.com/images/101-8620(2).JPG,https://www.aiproducts.com/images/101-8620(3).JPG","A-101-8620","Tractor Yoke, 1 3/4"" - 20 Spline w/ SSL","5.80 lbs","null"
"Size: 39.54"" X 357.13""","","A-1011595","Side Draper Belt; Ideal� 39.54"" X 357.13""","56.00 lbs","null"
"Length: 524""<br> Ply/Texture: 3 / Diamond Top<br> Width: 7""","https://www.aiproducts.com/images/1012437(1).JPG,https://www.aiproducts.com/images/1012437(2).JPG,https://www.aiproducts.com/images/1012437(3).JPG","A-1012437","Baler Belt, Upper, 3 Ply, DT, 7"" X 524"", W/ HD Plate Fasteners","43.20 lbs","null"
"1"" x 37.45"" REL (Raw Edge Laminate) Aramid Cord<br> Color: Black<br> Length: 37.45""<br> Material: Aramid Cord<br> Thickness: 0.41""<br> Type: REL (Raw Edge Laminate)<br> Width: 1""","https://www.aiproducts.com/images/BELT.JPG","A-1016203","Belt, Club Car Golf Cart",".44 lbs","null"
"Original Weasler part.<br> Bore: 1-3/8"" - 21 Spline","https://www.aiproducts.com/images/102-3521(1).JPG,https://www.aiproducts.com/images/102-3521(2).JPG,https://www.aiproducts.com/images/102-3521(3).JPG","A-102-3521","Quick Disconnect Tractor Yoke","3.92 lbs","A-13002021"
"Weasler alternative to original part.<br> Bore: 1 3/4"" - 6 Spline","https://www.aiproducts.com/images/102-6828(1).JPG,https://www.aiproducts.com/images/102-6828(2).JPG,https://www.aiproducts.com/images/102-6828(3).JPG","A-102-6828","Yoke, 1 3/4"" - 6 Spline w/ Quick Disconnect","6.48 lbs","null"
"","https://www.aiproducts.com/images/47V298(1).JPG,https://www.aiproducts.com/images/47V298(2).JPG,https://www.aiproducts.com/images/1024386M1.JPG","A-1024386M1","Bowl, Filter","1.00 lbs","null"
"","","A-103244","Idler Sprocket",".76 lbs","null"
"Shear bolt clutch, type 8. 1-3/4"" 20 spline clutch w/ safety slide lock.<br> Weasler alternative to original part.<br> Replacement shear bolt: 3/8"" - 16 Grade 5","https://www.aiproducts.com/images/104-6820(1).JPG,https://www.aiproducts.com/images/104-6820(2).JPG,https://www.aiproducts.com/images/104-6820(3).JPG","A-104-6820","Shear Bolt Clutch, 1 3/4"" - 20 Spline","12.34 lbs","A-13004020"
"KB61/20 Shear Bolt Clutch. 1-3/8"" - 6 spline quick disconnect clutch. 22,100 in/lbs 48 mm M10 bolt clutch assembly.<br> Weasler alternative to original part.","https://www.aiproducts.com/images/104-7906(1).JPG,https://www.aiproducts.com/images/104-7906(2).JPG,https://www.aiproducts.com/images/104-7906(3).JPG","A-104-7906","Clutch, Shear Bolt","9.55 lbs","null"
"Weasler alternative to original part.<br> Bore: 1 3/4"" - 20 Spline","https://www.aiproducts.com/images/104-8620(1).JPG,https://www.aiproducts.com/images/104-8620(2).JPG,https://www.aiproducts.com/images/104-8620(3).JPG","A-104-8620","Yoke, 1 3/4"" - 20 Spline Ball Shear Clutch","12.24 lbs","null"
"This water pump with pulley is completely new, from the seal to the housing, and fits the White / Oliver / Minneapolis Moline Tractor 1800 (SN <124395). (NOTE: replaces 104354AS-R)<br> Casting Number: 221060","https://www.aiproducts.com/images/104354AS(1).JPG,https://www.aiproducts.com/images/104354AS(2).JPG,https://www.aiproducts.com/images/104354AS(3).JPG,https://www.aiproducts.com/images/104354AS(4).JPG,https://www.aiproducts.com/images/104354AS(5).JPG,https://www.aiproducts.com/images/104354AS(GASKET).JPG,https://www.aiproducts.com/images/104354P.JPG,https://www.aiproducts.com/images/104354AS-RP.JPG","A-104354AS","Pump, Water w/ Pulley","17.30 lbs","null"
"5/8"" x 242"" Wrapped Aramid Cord<br> Color: White<br> Length: 242""<br> Material: Aramid Cord<br> Thickness: 0.425""<br> Type: Wrapped<br> Width: 5/8""","","A-1058783","Belt, Deck 60""","2.40 lbs","null"
"Cab Interior Control Panel","https://www.aiproducts.com/images/A70112.JPG","A-109268C2","AC/HT Switch",".22 lbs","null"
"Original Weasler part.<br> Bore: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/110-7706(1).JPG,https://www.aiproducts.com/images/110-7706(2).JPG,https://www.aiproducts.com/images/110-7706(3).JPG","A-110-7706","Auto-Lok Tractor Yoke","10.93 lbs","null"
"Bearing Width: .591""<br> Bore: 1.000""<br> Bore Type: Round<br> Inner Width: 1.375""<br> Lube Type: Non-relubable<br> Outside Diameter: 2.0472""<br> Overall Width: 1.734""<br> Replaces: JD9273, AH169077, AH79775","https://www.aiproducts.com/images/SPH%20WD%20INR%20RNG%20W_COLLAR%20GRP%20W_DIMS.JPG","A-1100KRRB-I","Bearing, Ball; Spherical W/ Collar, Non-Relubricatable",".60 lbs","null"
"1/2"" x 139.8"" Wrapped Aramid Cord<br> Color: Black<br> Length: 139.8""<br> Material: Aramid Cord<br> Thickness: 0.341""<br> Type: Wrapped<br> Width: 1/2""","","A-1106892","Belt, Deck 50""",".85 lbs","null"
"Bearing Width: .709""<br> Bore: 1.500""<br> Bore Type: Round<br> Inner Width: 1.687""<br> Lube Type: Non-relubable<br> Outside Diameter: 3.1495""<br> Overall Width: 2.219""","https://www.aiproducts.com/images/1108KRRB-I(1).JPG,https://www.aiproducts.com/images/1108KRRB-I(2).JPG,https://www.aiproducts.com/images/1108KRRB-I(3).JPG,https://www.aiproducts.com/images/SPH WD INR RNG W_COLLAR GRP W_DIMS.JPG","A-1108KRRB-I","Bearing, Ball; Spherical W/ Collar, Non-Relubricatable","1.70 lbs","null"
"This is a Re-Man Delco 35MT starter and is 12 volt, has 10 teeth with counter clockwise rotation. It fits multiple Case-IH Combine, Industrial / Construction, and Tractor models.<br> Rotation: CCW<br> Teeth: 10<br> Type: Delco<br> Volts/Kilowatts: 12","https://www.aiproducts.com/images/1113647(1).JPG,https://www.aiproducts.com/images/1113647(2).JPG,https://www.aiproducts.com/images/1113647(3).JPG","A-1113647","RE-MFG. STARTER","arge: $70.00 ","null"
"","https://www.aiproducts.com/images/21A616(1).JPG,https://www.aiproducts.com/images/21A616(2).JPG","A-1118988","VOLT. REGULATOR","1.06 lbs","null"
"Internal Splines: 15<br> Outside Diameter: 10.190""<br> Spline Count: 15<br> Spline Diameter: 2.370""","https://www.aiproducts.com/images/114622C2.JPG","A-114622C2","Brake Disc","4.00 lbs","null"
"5/8"" x 185.5"" Wrapped Aramid Cord<br> Color: Black<br> Length: 185.5""<br> Material: Aramid Cord<br> Thickness: 0.4""<br> Type: Wrapped<br> Width: 5/8""","","A-1154972","Belt, Deck","1.85 lbs","null"
"","https://www.aiproducts.com/images/116033(1).JPG,https://www.aiproducts.com/images/116033(2).JPG,https://www.aiproducts.com/images/116033(3).JPG,https://www.aiproducts.com/images/116033(4).JPG,https://www.aiproducts.com/images/116033(5).JPG,https://www.aiproducts.com/images/116033(6).JPG","A-116033","Pin; Threshing Cylinder","1.04 lbs","null"
"For 54"" feeder house - 12 Slats<br> C to C Of Sprocket: 36 3/8""<br> Links: 69<br> Quantity-Chain: 2-CA557","https://www.aiproducts.com/images/FEEDERHSE.JPG","A-117872A1","Chain, Feeder House; Smooth Slat","130.00 lbs","null"
"","","A-1190-14M-39","1190mm 14M 39mm 85 Teeth",,"null"
"New thermostat with an opening temperature of 180� F / 82� C. This thermostat fits multiple Ford / New Holland Industrial / Construction and Tractor models. (NOTE: replaces 83916917, 87712911)<br> Dim A (1): 180� Farenheit<br> Dim B (2): 82� Celcius","https://www.aiproducts.com/images/11C16(2).JPG,https://www.aiproducts.com/images/11C16(3).JPG,https://www.aiproducts.com/images/11C16(4).JPG,https://www.aiproducts.com/images/11C16(5).JPG","A-11C16","Thermostat (180�)",".15 lbs","A-E9NN8255AA"
"","","A-1215L26","L-Poly-V Belt (121.5"")",,"null"
"New tail wheel kit. Kit includes roller bearing and new style with 400 x 8 tire. Wheel has 7-1/2"" length and 1-1/4"" diameter shaft. Fits Bush Hog rotary cutters.","https://www.aiproducts.com/images/12269BH(1).JPG,https://www.aiproducts.com/images/12269BH.JPG","A-12269BHSPL","Wheel Kit, Tail (1-1/4"" Dia Shank)","51.80 lbs","null"
"Inside Diameter: 2.505""<br> Length: 2""","https://www.aiproducts.com/images/1259518C1.JPG,https://www.aiproducts.com/images/1259518C1(1).JPG","A-1259518C1","Bushing, Spindle",".34 lbs","null"
"Inside Diameter: .631""<br> Outside Diameter: 1.780""<br> Replaces: CNH Part# 149157C91, 145161C91 & 492757R91","https://www.aiproducts.com/images/1268017C91(1).JPG,https://www.aiproducts.com/images/1268017C91(2).JPG,https://www.aiproducts.com/images/1268017C91(3).JPG","A-1268017C91","Bearing, Ball",".24 lbs","null"
"","https://www.aiproducts.com/images/1286840C7.JPG","A-1286840C7","Pin Assembly","2.60 lbs","null"
"","","A-130-XL-1190","13"" XL Full Sleeve 11.90"" 65 Teeth",,"null"
"Repair Kit for Weasler and Rockwell 6 Spline<br> Original Weasler part.","https://www.aiproducts.com/images/13002006(1).JPG","A-13002006","Quick Disconnect Repair Kit","1.00 lbs","null"
"Easy lock guard clip. The easy lock guard clips allow for easy guard removal and replacement during servicing. Fits Bondioli & Pavesi 100 Series; Walterscheid W Series.<br> Original Weasler part.","https://www.aiproducts.com/images/13005000(1).JPG,https://www.aiproducts.com/images/13005000(2).JPG","A-13005000","Easy Lock Guard Clip","1.00 lbs","null"
"Links-Chain: 150-CA550<br> Paddle Size: 7 3/4"" x 2 3/4""<br> Quantity-Paddle: 37-1302203C1","https://www.aiproducts.com/images/71149583.JPG","A-1302201C91","Chain, Clean Grain Elevator","43.83 lbs","null"
"Replaces: 1309123C1<br> Type: Hardened, Corn & Grain","https://www.aiproducts.com/images/OIHC142006.JPG,https://www.aiproducts.com/images/1308668C1.JPG","A-1308668C1","Rasp Bar, Corn & Grain","6.00 lbs","null"
"H3 Bulb, 12 Volt, 55 Watt","https://www.aiproducts.com/images/1312210C2(1).JPG,https://www.aiproducts.com/images/1312210C2(CS).JPG,https://www.aiproducts.com/images/92242C1.JPG","A-1312210C2","Lamp Bulb H3 12V 55W, Side Headlight/Worklight",".05 lbs","null"
"Dim A (1): 5.75""<br> Dim B (2): 2.5""<br> Dim C (3): 1.625""<br> Replaces: 87052855, 86632007, 84822014, 80916061, 86551419, 916061, 80131673","https://www.aiproducts.com/images/131673.JPG,https://www.aiproducts.com/images/131673(1).JPG","A-131673","Baler Tooth",".50 lbs","null"
"Dim A (1): 32 teeth, 50 chain<br> Dim B (2): 6.721"" OD<br> Dim C (3): 1.250"" ID","https://www.aiproducts.com/images/1345472C1.JPG","A-1317412C1","Sprocket, Grain Elevator Drive","3.40 lbs","null"
"Rear Section For 208"" Long Auger<br> Dim A (1): 119"" long<br> Dim B (2): 12"" ID","https://www.aiproducts.com/images/1317899C4.JPG","A-1317899C4","Tube, Unloading Auger (Rear)","158.00 lbs","null"
"","https://www.aiproducts.com/images/191847C5.JPG","A-1318829C2","Cage, Front Rotor (LH)","90.00 lbs","null"
"Uses 3/8"" X 2 1/2"" Roll Pins Part# 87597 (Not Included Or Offered By A&I Products)<br> Length: 68.00""<br> Replaces: 1321440C3, 1321440C2, 1321440C1","https://www.aiproducts.com/images/1321440C4.JPG","A-1321440C4","Shaft, Feeder House, Upper","38.00 lbs","A-179665C91"
"Manual Adjust Sieve<br> 3 Adjust Handles<br> Length: 74.88""<br> Replaces: 1322467C1, 1322467C2, 1322467C3, 1322467C4, 1322467C5<br> Spacing: 1 1/8""<br> Type: Long Shoe<br> Width: 60.00""","https://www.aiproducts.com/images/1322467C6(1).JPG,https://www.aiproducts.com/images/1322467C6(2).JPG,https://www.aiproducts.com/images/1322467C6(3).JPG,https://www.aiproducts.com/images/1322467C6(4).JPG,https://www.aiproducts.com/images/SHORT_FINGER.JPG","A-1322467C6","Chaffer, Short Finger, Top","165.00 lbs","null"
"Dim A (1): 47"" Feeder House<br> Length: 43.573""<br> Width: 35.625""","https://www.aiproducts.com/images/1324576c1.JPG","A-1324576C1","Feeder House Bottom","79.00 lbs","null"
"Length: 61.75""<br> Spacing: 1 1/8""<br> Type: Short Shoe<br> Width: 45.00""","https://www.aiproducts.com/images/SHORT_FINGER.JPG,https://www.aiproducts.com/images/B91517.JPG","A-1330684C2","Chaffer, Short Finger, Top","87.00 lbs","null"
"Inside Diameter: .678""<br> Outside Diameter: 1.144""","https://www.aiproducts.com/images/1342831C1(1).JPG","A-1342831C1","Seal, Injector",".05 lbs","null"
"","https://www.aiproducts.com/images/P6361(1).JPG,https://www.aiproducts.com/images/P6361(2).JPG,https://www.aiproducts.com/images/P6361(3).JPG","A-13550","Idler, Chain",".90 lbs","null"
"","https://www.aiproducts.com/images/139286C3.JPG","A-139286C3","Gasket, PTO Housing",".14 lbs","null"
"Drivelines are furnished with Cross & Bearing Kit and Outboard Yoke. The overall compressed length of the driveline will be as listed.<br> Original Weasler part.<br> compressed length: 48""<br> implement yoke: 1-1/4"" Round w/ 1/4"" Keyway<br> Shaft: 1"" x 1-1/8"" Rect.<br> Size: 12<br> Tractor Yoke: 1-3/8"" x 6 Spl. Spring Lok","https://www.aiproducts.com/images/14001220(1).JPG,https://www.aiproducts.com/images/14001220(2).JPG,https://www.aiproducts.com/images/14001220(3).JPG,https://www.aiproducts.com/images/14000600.JPG","A-14001220","Domestic Shafts Complete","29.80 lbs","null"
"100 Series Economy Driveline, size 4. Driveline rated as a category 3 (35 hp). Minimum C-to-C length: 22"" (710 mm), Maximum C-to-C length: 32"" (1060 mm), Total collapsed length: 30"" (915 mm). Tractor end: 1-3/8"" 6 spline, Implement end: 1-3/8"" Round bore with 1/2"" pin hole.<br> Original Weasler Part.","https://www.aiproducts.com/images/14006430(1).JPG,https://www.aiproducts.com/images/14006430(2).JPG","A-14006430","Driveline, Rotary Cutter","21.00 lbs","null"
"100 Series Rotary Cutter Driveline Assembly with quick disconnect yokes. Driveline is furnished withcross kits and yokes. Driveline minimum C-to-C is 34"" (965 mm), maximum C-to-C length is 60"" (1470 mm), total collapsed length is 43"" (1168mm). Tractor& implement ends: 1-3/8"" 6 Spline. Driveline rated as category 4 (47 hp), size 5. Fits Bondioli & Pavesi applications.<br> Weasler alternative to original part.","https://www.aiproducts.com/images/14006543(1).JPG,https://www.aiproducts.com/images/14006543(2).JPG","A-14006543","Driveline, w/ 1 3/8"" 6 Spline QD Yokes","36.00 lbs","null"
"100 Series Driveline Assembly with quick disconnect yokes. Driveline minimum C-to-C is 32"", maximumC-to-C length is 48"", total collapsed length is 41"". Tractor and implement end: 1-3/8"" 6 Spline. Rated as a category 4 HD (64 hp), size 6. Fits Bondioli & Pavesi models.<br> Weasler alternative to original part.","https://www.aiproducts.com/images/14006642(1).JPG,https://www.aiproducts.com/images/14006642(2).JPG","A-14006642","Driveline, w/ 1 3/8"" 6 Spline QD Yokes","37.60 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 73""<br> C to C Min: 48""<br> Implement: 1 3/4"" Round Bore w/ Keyway<br> Size: 8<br> Total Collapsed Length: 57""<br> Tractor: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/14006828(1).JPG,https://www.aiproducts.com/images/14006828(2).JPG","A-14006828","Driveline, Complete w/ Yokes","60.10 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 41""<br> C to C Min: 30""<br> Implement: 1 3/8"" - 6 Spline<br> Total Collapsed Length: 39""<br> Tractor: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/14007640(1).JPG,https://www.aiproducts.com/images/14007640(2).JPG","A-14007640","Driveline, w/ 1 3/8"" 6 Spline QD Yokes","40.60 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 64""<br> C to C Min: 46""<br> Implement: 1 3/8"" - 21 Spline<br> Total Collapsed Length: 55""<br> Tractor: 1 3/4"" - 20 Spline","https://www.aiproducts.com/images/14007955(1).JPG,https://www.aiproducts.com/images/14007955(2).JPG","A-14007955","Driveline, Complete w/ Yokes","63.55 lbs","null"
"The Weasler high performance PTO drive shafts are the foremost drive shaft solution in the agriculture and lawn & turf industries . Weasler PTO driveshafts are complete assemblies from tractor to implement. They are designed for continuous heavy-duty all purpose use and meet the requirements of large farms and contractors. The metric product line offering of PTO drive shafts, Weasler Profile, meets and/or exceeds the quality of products currently offered by our competitors within a multitude of industries.<br> Weasler alternative to original part.<br> C to C Max: 51""<br> C to C Min: 34""<br> Implement: 1 3/8"" - 21 Spline<br> Total Collapsed Length: 43""<br> Tractor Yoke: 1 3/8"" - 21 Spline","https://www.aiproducts.com/images/14066644(1).JPG,https://www.aiproducts.com/images/14066644(2).JPG","A-14066644","Driveline, Complete w/ 1 3/8"" 21 Spline Yokes","38.76 lbs","null"
"Constant velocity tractor yoke with quick disconnect push pin, type 60 CV. 1-3/4"" 20 Spline. Replaces Comer No. 141026267. Fits Comer V Series.<br> Replaces: Comer Part No: 141026267<br> Size: 1 3/4"" - 20 spline","https://www.aiproducts.com/images/WLCVPP.JPG","A-141026267","Tractor yoke, CV, QD push pin, 1 3/4"" 20 spline","4.65 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 70""<br> C to C Min: 45""<br> Implement: 1 3/4"" - 20 Spline<br> Total Collapsed Length: 56""<br> Tractor Yoke: 1 3/4"" - 20 Spline","https://www.aiproducts.com/images/14106656(1).JPG,https://www.aiproducts.com/images/14106656(2).JPG","A-14106656","Driveline, Complete w/ Friction Clutch","64.00 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 83""<br> C to C Min: 53""<br> Implement: 1 3/8"" - 21 Spline<br> Total Collapsed Length: 64""<br> Tractor Yoke: 1 3/8"" - 21 Spline","https://www.aiproducts.com/images/14116664(1).JPG,https://www.aiproducts.com/images/14116664(2).JPG","A-14116664","Driveline, Complete w/ Friction Clutch","69.00 lbs","null"
"Bore: 1.375""<br> Radius: .03""<br> Width: 1.052""","https://www.aiproducts.com/images/ROLLER.JPG,https://www.aiproducts.com/images/TAPERED ROLLER CONES GROUP W_DIMS.JPG","A-14136AA-I","Cone, Tapered Roller Bearing",".50 lbs","null"
"Dim A (1): Amber Flasher<br> Dim B (2): White Side Light","https://www.aiproducts.com/images/VPM3631(1).JPG,https://www.aiproducts.com/images/VPM3631(2).JPG,https://www.aiproducts.com/images/VPM3631(3).JPG,https://www.aiproducts.com/images/1425883M93.JPG","A-1425883M93","Lamp, Front Side (LH)",".48 lbs","null"
"Outside Diameter: 2.717""<br> Radius: .05""<br> Width: .625""","https://www.aiproducts.com/images/TAPERED%20ROLLER%20CUPS%20GROUP%20W_DIMS.JPG","A-14276-P","Cup, Tapered Bearing",".29 lbs","null"
"Dim A (1): 9 tooth<br> Dim B (2): 1.375"" bore","https://www.aiproducts.com/images/143960A1.JPG","A-143960A1","Sprocket, Clean Grain Elevator","3.50 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 25""<br> C to C Min: 18""<br> Implement: 1 1/4"" Round Bore w/ 1/4"" Keyway<br> Total Collapsed Length: 28""<br> Tractor Yoke: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/14406428(1).JPG","A-14406428","Driveline, Complete w/ Ball Shear Clutch","27.50 lbs","null"
"Replaces: 39653, 34885, DM700","https://www.aiproducts.com/images/80A16(1).JPG,https://www.aiproducts.com/images/80A16(2).JPG,https://www.aiproducts.com/images/80A16(3).JPG","A-144176","Forged Guard, Single Prong","1.58 lbs","null"
